match_no,date,venue,group,match,1,2,attendance,1_xg,2_xg,1_poss,2_poss,1_goals,2_goals,score,1_attempts,2_attempts,1_conceded,2_conceded,1_goal_inside_penalty_area,2_goal_inside_penalty_area,1_goal_outside_penalty_area,2_goal_outside_penalty_area,1_ontarget,2_ontarget,1_offtarget,2_offtarget,1_attempts_inside_penalty_area,2_attempts_inside_penalty_area,1_attempts_outside_penalty_area,2_attempts_outside_penalty_area,1_yellow_cards,2_yellow_cards,1_red_cards,2_red_cards,faul_against_1,faul_against_2,1_offsides,2_offsides,1_passes,2_passes,1_passes_compeletd,2_passes_compeletd,1_corners,2_corners,1_free_kicks,2_free_kicks,1_panelties_scored,2_panelties_scored,1_goal_prevented,2_goal_prevented,1_own_goal,2_own_goal,1_defensive_pressure_applied,2_defensive_pressure_applied,Result,1_pass_success,2_pass_success,winning_pass_success,Team_1_Goals_Diff,Team_2_Goals_Diff
44,1-Dec-22,Al Bayt Stadium,Group E,COSTA RICA vs GERMANY,COSTA RICA,GERMANY,67054,1.3,5.7,0.32,0.68,2,4,"2,4",8,32,4,2,2,4,0,0,6,11,1,17,6,24,2,8,1,0,0,0,3,9,4,3,347,727,269,661,1,14,12,7,0,0,32,8,0,0,378,230,GERMANY,0.7752161383285303,0.9092159559834938,0.9092159559834938,0.7,-1.7000000000000002
45,2-Dec-22,Al Janoub Stadium,Group H,GHANA vs URUGUAY,GHANA,URUGUAY,43443,1.6,1.8,0.51,0.49,0,2,"0,2",9,12,2,0,0,2,0,0,4,7,4,5,4,7,5,5,2,3,0,0,18,11,2,2,460,446,377,361,5,2,12,20,0,0,12,9,0,0,248,293,URUGUAY,0.8195652173913044,0.8094170403587444,0.8094170403587444,-1.6,0.19999999999999996
46,2-Dec-22,Education City Stadium,Group H,KOREA REPUBLIC vs PORTUGAL,KOREA REPUBLIC,PORTUGAL,44097,1.7,1.3,0.39,0.61,2,1,"2,1",12,12,1,2,2,1,0,0,6,4,4,6,6,5,6,7,2,0,0,0,9,11,1,5,359,606,304,541,5,4,15,10,0,0,14,12,0,0,359,233,KOREA REPUBLIC,0.8467966573816156,0.8927392739273927,0.8467966573816156,0.30000000000000004,-0.30000000000000004
47,2-Dec-22,Stadium 974,Group G,SERBIA vs SWITZERLAND,SERBIA,SWITZERLAND,41378,1.3,2.7,0.54,0.46,2,3,"2,3",11,14,3,2,2,3,0,0,4,7,6,3,10,10,1,4,7,4,0,0,18,13,0,0,476,403,390,325,2,0,14,18,0,0,14,10,0,0,276,253,SWITZERLAND,0.819327731092437,0.8064516129032258,0.8064516129032258,0.7,0.2999999999999998
48,2-Dec-22,Lusail Iconic Stadium,Group G,CAMEROON vs BRAZIL,CAMEROON,BRAZIL,85986,0.5,2.5,0.35,0.65,1,0,"1,0",7,19,0,1,1,0,0,0,3,6,3,11,5,14,2,5,5,2,1,0,14,14,0,1,295,548,239,491,3,11,15,14,0,0,20,7,0,0,321,226,CAMEROON,0.8101694915254237,0.8959854014598541,0.8101694915254237,0.5,-2.5
49,3-Dec-22,Khalifa International Stadium,Round of 16,NETHERLANDS vs UNITED STATES,NETHERLANDS,UNITED STATES,44846,1.7,1.5,0.42,0.58,3,1,"3,1",11,18,1,3,3,1,0,0,6,7,4,4,7,11,4,7,2,0,0,0,10,5,0,3,396,567,320,487,4,5,8,10,0,0,18,13,0,0,325,256,NETHERLANDS,0.8080808080808081,0.8589065255731922,0.8080808080808081,1.3,-0.5
50,3-Dec-22,Ahmed bin Ali Stadium,Round of 16,ARGENTINA vs AUSTRALIA,ARGENTINA,AUSTRALIA,45032,1.6,0.6,0.6,0.4,2,1,"2,1",14,5,1,2,2,0,0,0,5,2,7,2,11,3,3,2,0,2,0,0,8,15,4,0,711,450,635,381,1,3,15,11,0,0,5,14,1,0,240,453,ARGENTINA,0.8931082981715893,0.8466666666666667,0.8931082981715893,0.3999999999999999,0.4
51,4-Dec-22,Al Thumama Stadium,Round of 16,FRANCE vs POLAND,FRANCE,POLAND,40989,1.4,1.7,0.55,0.45,3,1,"3,1",16,11,1,3,3,1,0,0,7,3,7,5,10,8,6,3,1,2,0,0,10,8,3,1,540,466,481,391,7,1,8,11,0,1,11,16,0,0,220,297,FRANCE,0.8907407407407407,0.8390557939914163,0.8907407407407407,1.6,-0.7
52,4-Dec-22,Al Bayt Stadium,Round of 16,ENGLAND vs SENEGAL,ENGLAND,SENEGAL,65985,1.0,0.8,0.61,0.39,3,0,"3,0",8,10,0,3,3,0,0,0,4,2,4,6,7,4,1,6,0,1,0,0,16,12,0,0,597,393,523,320,3,3,12,16,0,0,10,8,0,0,230,339,ENGLAND,0.8760469011725294,0.8142493638676844,0.8760469011725294,2.0,-0.8
53,5-Dec-22,Al Janoub Stadium,Round of 16,JAPAN vs CROATIA,JAPAN,CROATIA,42523,1.2,1.4,0.42,0.58,1,1,"(1) 1,1 (3)",12,16,1,1,1,1,0,0,4,4,4,8,5,9,7,7,0,2,0,0,13,16,3,0,532,735,414,624,8,5,16,16,0,0,18,11,0,0,405,308,CROATIA,0.7781954887218046,0.8489795918367347,0.8489795918367347,-0.19999999999999996,-0.3999999999999999
54,5-Dec-22,Stadium 974,Round of 16,BRAZIL vs KOREA REPUBLIC,BRAZIL,KOREA REPUBLIC,43847,3.6,0.5,0.53,0.47,4,1,"4,1",18,10,1,4,4,0,0,1,9,6,8,2,14,6,4,4,0,1,0,0,8,13,0,5,616,548,556,486,5,4,16,8,1,0,10,18,0,0,310,329,BRAZIL,0.9025974025974026,0.8868613138686131,0.9025974025974026,0.3999999999999999,0.5
55,6-Dec-22,Education City Stadium,Round of 16,MOROCCO vs SPAIN,MOROCCO,SPAIN,44667,0.7,1.0,0.24,0.76,0,0,"(3) 0,0 (0)",6,13,0,0,0,0,0,0,3,1,3,6,3,9,3,4,1,1,0,0,15,14,5,4,323,1041,229,967,0,8,18,20,0,0,14,6,0,0,573,217,MOROCCO,0.7089783281733746,0.9289145052833814,0.7089783281733746,-0.7,-1.0
56,6-Dec-22,Lusail Iconic Stadium,Round of 16,PORTUGAL vs SWITZERLAND,PORTUGAL,SWITZERLAND,83720,2.3,1.2,0.47,0.53,6,1,"6,1",14,10,1,6,6,1,0,0,9,1,2,7,9,5,5,5,0,2,0,0,12,10,3,3,461,512,392,436,6,6,13,15,0,0,10,15,0,0,357,240,PORTUGAL,0.8503253796095445,0.8515625,0.8503253796095445,3.7,-0.19999999999999996
